,route_id,trip_headsign,stop_name
1179,14804,,BUFFINGTON RD @ FLAT SHOALS RD
1180,14804,,FLAT SHOALS RD @ FELDWOOD RD
1181,14804,,FLAT SHOALS RD @ SHENFIELD LN
1182,14804,,FLAT SHOALS RD @ MALLORY RD
1183,14804,,FLAT SHOALS RD @ 4300 (OPPOSITE)
1184,14804,,FLAT SHOALS RD @ OAKLEY RD
1185,14804,,FLAT SHOALS RD @ 4483
1186,14804,,FLAT SHOALS RD @ BALLYE SHANNON PIKE
1187,14804,,FLAT SHOALS RD @ DODSON RD
1188,14804,,SHANNON PKWY @ PORTSMOUTH DR
1189,14804,,SHANNON PKWY @ SHANNON BLVD
1190,14804,,SHANNON PKWY @ RESURRECTION WAY
1191,14804,,SHANNON PKWY @ LANCASTER LN
1192,14804,,JONESBORO RD @ 4751
1193,14804,,BEVERLY ENGRAM PKWY @ JONESBORO RD
1194,14804,,HWY 138 @ 5250
1195,14804,,BEVERLY ENGRAM PKWY @ PARKWAY RD
1196,14804,,BEVERLY ENGRAM PKWY @ JONESBORO RD
1197,14804,,NW BROAD ST @ BEVERLY ENGRAM PKWY
1198,14804,,W BROAD ST @ SHAW DR
1199,14804,,W BROAD ST @ ESTES DR
1200,14804,,W BROAD ST @ ELDER ST
1201,14804,,W BROAD ST @ DODD ST
1202,14804,,W BROAD ST @ SMITH ST
1203,14804,,W BROAD ST @ SENOIA RD
1204,14804,,BROOKS DR@ SW BROAD ST
1205,14804,,WASHINGTON ST @ CEMETERY ST
1206,14804,,WASHINGTON ST @ MALONE ST
1207,14804,,WASHINGTON ST @ SMITH ST
1208,14804,,SMITH ST @ BROAD ST
1209,14804,,SW BROAD ST @ SMITH ST
1210,14804,,NW BROAD ST @ DODD ST
1211,14804,,NW BROAD ST @ 152
1212,14804,,NW BROAD ST @ NE BROAD ST
1213,14804,,NW BROAD ST @ BEVERLY ENGRAM PKWY
1214,14804,,HWY 138 @ JONESBORO RD
1215,14804,,HWY 138 @ PARKWAY RD
1216,14804,,HWY 138 @ GRESHAM ST
1217,14804,,HWY 138 @ GOODSON CONNECTOR RD
1218,14804,,JONESBORO RD @ 4770
1219,14804,,SHANNON PKWY @ LANCASTER LN
1220,14804,,SHANNON PKWY @ RESURRECTION WAY
1221,14804,,SHANNON PKWY @ SHANNON BLVD
1222,14804,,SHANNON PKWY @ PORTSMOUTH DR
1223,14804,,SHANNON PKWY @ FLAT SHOALS RD
1224,14804,,FLAT SHOALS RD @ ABERCORN ST
1225,14804,,FLAT SHOALS RD @ 4483
1226,14804,,FLAT SHOALS RD @ OAKLEY RD
1227,14804,,FLAT SHOALS RD @ 4300
1228,14804,,FLAT SHOALS RD @ MALLORY RD
